id,budget,runtime,revenue,release_month,release_day,release_year,release_dayofweek,release_quarter,high_budget_adjacency,is_collection,has_homepage,original_title_letter_count,original_title_word_count,overview_word_count,num_genres,genres_popularity,num_keywords,keywords_popularity,num_prod_companies,prod_companies_popularity,num_producers,producers_popularity,num_crew,num_director,director_popularity,num_prod_countries,prod_countries_popularity,language,num_spoken_lang,num_cast,num_females,is_lead_female,cast_popularity,top5_popularity,inflation_budget,scaled_budget,budget_num_cast_ratio,budget_runtime_ratio
1,14000000,93,12314651,2,20,2015,4,1,0,0,1,22,5,29,1,731,4,48.75,3,78.33333333,4,0.097222222,72,1,0.041666667,1,1790,0,1,24,8,0,3.5,6.4,15008000,16.45456796,583333.3333,150537.6344
2,40000000,113,95149435,8,6,2004,4,3,3,0,1,40,6,69,4,606.75,4,5,1,55,4,1,9,1,0.444444444,1,1790,0,1,20,10,1,4.2,6,50800000,17.50439004,2000000,353982.3009
3,3300000,105,13092000,10,10,2014,4,4,4,1,0,8,1,21,1,1089,12,10,3,5.666666667,8,0.703125,64,1,0.09375,1,1790,0,1,51,7,0,2.019607843,7.2,3597000,15.00943333,64705.88235,31428.57143
4,1200000,122,16000000,3,9,2012,4,1,3,1,0,7,1,106,2,861.5,7,5,0,0,1,1,3,1,1,1,68,1,2,7,1,1,1.571428571,1.6,1351200,13.99783295,171428.5714,9836.065574
6,8000000,83,3261638,8,6,1987,3,3,0,1,1,38,7,28,3,229.3333333,0,0,0,0,0,0,11,1,0.090909091,0,0,0,1,4,0,0,4.5,3.6,12608000,15.89495222,2000000,96385.54217
7,14000000,92,85446075,8,30,2012,3,3,0,1,0,14,2,39,2,438.5,0,0,2,0,5,0.298701299,77,1,0.077922078,2,942,0,1,14,3,0,2.214285714,3.2,15764000,16.45456796,1000000,152173.913
10,6000000,91,18750246,4,16,2003,2,2,2,1,1,13,3,50,2,400.5,2,3,1,19,1,0.090909091,11,1,0.181818182,1,1790,0,1,20,5,0,6.45,8.6,7728000,15.60727019,300000,65934.06593
11,1000000,119,117235147,11,21,1976,6,4,0,0,1,5,1,54,1,1089,16,6.5625,1,38,3,0.580645161,31,1,0.35483871,1,1790,0,1,37,4,0,3.081081081,8,1774000,13.81551156,27027.02703,8403.361345
13,15000000,122,356296601,9,15,1999,2,3,2,1,0,15,2,26,1,1089,21,10.38095238,2,13.5,2,0.201834862,109,1,0.036697248,1,1790,0,1,40,22,0,3.15,6,20400000,16.52356083,375000,122950.8197
14,53000000,118,95226116,3,4,2005,4,1,2,0,1,7,2,23,2,553,8,1,4,15.75,7,2.5,18,1,0.5,1,1790,0,2,59,18,0,3.254237288,8.8,66356000,17.78580249,898305.0847,449152.5424
15,102000000,145,358372926,6,20,2002,3,2,1,1,1,15,2,33,4,419.25,9,25.77777778,7,24,6,0.307692308,156,1,0.121794872,1,1790,0,2,23,8,0,5.47826087,9.4,133212000,18.44048338,4434782.609,703448.2759
16,500000,97,192864,10,6,2010,2,4,0,1,0,7,1,53,3,692,2,0,1,0,1,0.04,25,1,0.12,1,0,2,1,13,0,0,1.153846154,1.2,581000,13.12236538,38461.53846,5154.639175
17,26000000,85,57891803,8,4,2005,3,3,1,1,1,7,2,101,2,438.5,4,16,3,9,6,0.914285714,35,1,0.285714286,1,1790,0,2,24,10,1,3.291666667,7.8,32552000,17.07360713,1083333.333,305882.3529
19,8000000,96,1749457,2,2,2011,2,1,0,1,1,11,2,53,2,567,7,3.142857143,4,2.5,0,0,2,1,1,3,133.3333333,0,2,23,7,1,2.434782609,5,9152000,15.89495222,347826.087,83333.33333
20,32000000,87,85167639,8,2,2005,1,3,1,0,1,13,2,52,3,540.3333333,5,12,7,25.42857143,3,2.588235294,17,1,1.117647059,1,148,0,3,10,2,0,6.5,5.2,40064000,17.28124649,3200000,367816.092
21,80000000,130,136159423,4,3,1998,4,2,0,1,1,13,3,47,3,276.3333333,3,9.333333333,4,17.25,8,0.391666667,120,1,0.05,1,1790,0,1,20,6,0,3.95,8.6,110240000,18.19753721,4000000,615384.6154
22,4000000,95,36690067,8,13,1982,4,3,0,0,1,24,5,39,2,438.5,9,18.44444444,2,67,0,0.636363636,11,1,0.545454545,1,1790,0,1,16,3,1,1.0625,1.2,6664000,15.20180517,250000,42105.26316
27,10000000,110,13835130,9,8,1997,0,3,0,1,1,20,3,22,4,570,4,24.75,4,0,3,0.777777778,18,1,0.111111111,1,1790,0,1,6,2,0,3.833333333,4,13960000,16.11809575,1666666.667,90909.09091
28,11000000,93,7847000,9,7,2013,5,3,0,1,1,7,2,92,3,741,3,13.66666667,3,0,5,0.333333333,15,1,0.2,2,54,0,1,24,11,0,2.166666667,3.6,12188000,16.21340592,458333.3333,118279.5699
29,6000000,84,5849647,8,8,1986,4,3,0,1,1,27,4,31,1,108,6,3.166666667,4,0,4,0.222222222,18,1,0.111111111,1,1790,0,2,33,1,0,2.727272727,7.8,9564000,15.60727019,181818.1818,71428.57143
30,45000000,89,94935764,4,7,2002,6,2,0,1,1,14,2,79,4,499.25,4,27.5,1,134,1,2.875,8,1,0.375,1,1790,0,1,11,4,0,8.818181818,11.4,58770000,17.62217307,4090909.091,505617.9775
31,13000000,112,426480871,11,2,2011,2,4,2,1,1,12,1,29,2,910,7,25.14285714,8,5.5,3,0.088235294,34,2,0.117647059,1,148,3,2,32,9,0,1.25,2.4,14872000,16.38045999,406250,116071.4286
33,90000000,106,146936910,10,21,2015,2,4,1,1,0,21,4,121,3,392.3333333,4,13.25,7,3.285714286,3,0.206521739,92,1,0.032608696,1,1790,0,1,22,9,0,3.636363636,5.6,96480000,18.31532024,4090909.091,849056.6038
35,140000000,91,258022233,8,8,2007,2,3,1,0,1,11,3,60,4,588,1,0,1,69,5,2.277777778,18,1,0.333333333,1,1790,0,5,18,5,0,4.111111111,5.8,170240000,18.75715299,7777777.778,1538461.538
36,30000000,94,40346186,4,16,2012,0,2,0,1,0,4,1,36,3,540.3333333,1,0,5,0,8,0.823529412,34,1,0.058823529,1,1790,0,3,15,1,0,4.066666667,7,33780000,17.21670797,2000000,319148.9362
38,50000000,127,189859560,3,10,1995,4,1,0,1,1,8,1,47,4,646,8,3.625,4,42.75,4,1.846153846,13,1,0.923076923,1,1790,0,3,14,2,0,7.071428571,12,71600000,17.72753358,3571428.571,393700.7874
40,3800000,123,14873,4,7,1965,1,2,0,1,1,12,2,42,2,56.5,5,3.4,2,25,1,0.166666667,12,1,0.5,1,1790,0,3,14,1,0,3.571428571,5.4,7493600,15.15051189,271428.5714,30894.30894
42,3000000,126,16217773,6,22,1967,2,2,0,1,1,14,3,78,2,732,12,11.75,2,85.5,2,0.178571429,28,1,0.071428571,1,1790,0,1,32,1,0,3.15625,5.2,5808000,14.91412318,93750,23809.52381
43,25000000,108,24362772,3,3,2000,4,1,0,1,1,19,4,54,1,731,10,10.8,2,73.5,3,1.083333333,12,1,0.083333333,1,1790,0,2,11,5,1,4.272727273,5,33550000,17.03438642,2272727.273,231481.4815
