,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,0.013914158,0.122366175,0.008367581,,0.013004105,0.150529876,0.01086459,,0.012967443,0.139943302,0.011899026,,0.014179127,0.210632995,0.012208018
0,0.013914158,0.105372608,0.016927283,0.014031457,0.012563318,0.018183587,0.016893655,0.0165576,0.016286088,0.122366175,0.021457218,0.012088411,0.015874499,0.012091516,0.024325518,0.015591311,0.025009988,0.014470493,0.023374854,0.055247795,0.021461796,0.013703447,0.020927548,0.008459412,0.011720714,0.025121627,0.0157288,0.019037122,0.012206621,0.026591742,0.013723658,0.008367581,0.014465293,0.012478818,0.105858475,0.034693021,0.017021669,0.045805164,,,,0.105372608,0.105858475,0.008459412,,0.122832239,0.122832239,0.011070252,,0.095400207,0.096915446,0.012007336,,0.028155917,0.111207955,0.013296283
1,0.013004105,0.122832239,0.018469764,0.014259051,0.012768839,0.017879916,0.014546835,0.018418707,0.018636828,0.150529876,0.033775125,0.014293835,0.014053224,0.012176012,0.015030262,0.013566246,0.02282192,0.014508731,0.016175728,0.058045689,0.016905755,0.014944315,0.024626831,0.013363902,0.01086459,0.021791846,0.01561607,0.02157069,0.011070252,0.024888465,0.062193327,0.086350009,0.024934663,0.035086293,,,,,,,,0.016927283,0.105372608,0.011720714,,0.018469764,0.086350009,0.012176012,,0.01941568,0.096113086,0.012170534,,0.018247463,0.045026287,0.013478627
2,0.012967443,0.095400207,0.01941568,0.01668532,0.01373155,0.01933695,0.021013873,0.012007336,0.01948702,0.139943302,0.022089656,0.014473887,0.012840719,0.013280446,0.020693544,0.014983375,0.023195257,0.015530094,0.018080175,0.040960178,0.018000949,0.016259307,0.020349264,0.015482384,0.017930314,0.016776709,0.019051939,0.017341437,0.015473624,0.011899026,0.012170534,0.096113086,0.096915446,0.015138623,0.044981454,,,,,,,0.014031457,0.055247795,0.012088411,,0.014259051,0.062193327,0.012768839,,0.01668532,0.095400207,0.012840719,,0.017943405,0.041240554,0.014179127
3,0.183991536,0.501748204,0.146229014,0.16803129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012563318,0.045805164,0.012091516,,0.012768839,0.058045689,0.013004105,,0.01373155,0.044981454,0.012967443,,0.0273418,0.035453614,0.014317103
4,0.01321514,0.020594973,0.014826401,0.014460549,0.018128973,0.021102259,0.015803089,0.012289656,0.126876265,0.026678668,0.013430706,0.014147458,0.012580069,0.020212203,0.014734498,0.029016525,0.015135021,0.019486174,0.075308464,0.019880664,0.016029885,0.019316025,0.007767205,0.01200738,0.017705267,0.022424072,0.022234777,0.012694109,0.025659457,0.018873634,0.008257089,0.015378702,0.013539059,0.067514516,0.116794981,0.018425651,0.067470431,,,,,0.018183587,,,,0.017879916,,0.013363902,,0.01933695,,0.013280446,,0.023194347,,0.01554939
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016893655,,,,0.014546835,,,,0.021013873,,,,0.021183217,,
,id,budget,runtime,release_month ,release_day,release_year,release_dayofweek,release_quarter,high_budget_adjacency,is_collection ,has_homepage,original_title_letter_count,original_title_word_count,overview_word_count,num_genres,genres_popularity,num_keywords,keywords_popularity,num_prod_companies,prod_companies_popularity,num_producers,producers_popularity,num_crew,num_director,director_popularity ,num_prod_countries,prod_countries_popularity,language,num_spoken_lang ,num_cast,num_females ,is_lead_female,cast_popularity ,top5_popularity,inflation_budget,scaled_budget ,budget_num_cast_ratio,budget_runtime_ratio,,,,0.0165576,,,,0.018418707,,,,0.012007336,,,,0.017349267,,
,0.013914158,0.105372608,0.016927283,0.014031457,0.012563318,0.018183587,0.016893655,0.0165576,0.016286088,0.122366175,0.021457218,0.012088411,0.015874499,0.012091516,0.024325518,0.015591311,0.025009988,0.014470493,0.023374854,0.055247795,0.021461796,0.013703447,0.020927548,0.008459412,0.011720714,0.025121627,0.0157288,0.019037122,0.012206621,0.026591742,0.013723658,0.008367581,0.014465293,0.012478818,0.105858475,0.034693021,0.017021669,0.045805164,,,,0.016286088,,,,0.018636828,,,,0.01948702,,,,0.210632995,,
,id,budget,runtime,release_month ,release_day,release_year,release_dayofweek,release_quarter,high_budget_adjacency,is_collection ,has_homepage,original_title_letter_count,original_title_word_count,overview_word_count,num_genres,genres_popularity,num_keywords,keywords_popularity,num_prod_companies,prod_companies_popularity,num_producers,producers_popularity,num_crew,num_director,director_popularity,num_prod_countries,prod_countries_popularity,language ,num_spoken_lang ,num_cast,inflation_budget,scaled_budget ,budget_num_cast_ratio,       'budget_runtime_ratio,,,,,,,,0.122366175,,,,0.150529876,,,,0.139943302,,,,0.041240554,,
,0.013004105,0.122832239,0.018469764,0.014259051,0.012768839,0.017879916,0.014546835,0.018418707,0.018636828,0.150529876,0.033775125,0.014293835,0.014053224,0.012176012,0.015030262,0.013566246,0.02282192,0.014508731,0.016175728,0.058045689,0.016905755,0.014944315,0.024626831,0.013363902,0.01086459,0.021791846,0.01561607,0.02157069,0.011070252,0.024888465,0.062193327,0.086350009,0.024934663,0.035086293,,,,,,,,0.021457218,,,,0.033775125,,,,0.022089656,,,,0.016921887,,
