id,revenue_all features,revenue_without cast,revenue_without crew,revenue_sparse features,revenue_no budget,real_revenue
2407,11973041.0,15919411.0,10589373.0,2633322.2,6916180.5,65046687
2409,7355534.0,3314804.0,6768775.5,5903988.5,1245959.9,4409328
2410,17486788.0,33375472.0,44723460.0,35631020.0,23473216.0,48814909
2411,19234804.0,8468130.0,22279976.0,15265867.0,1616039.1,18599102
2412,77195370.0,18725584.0,57418390.0,77087810.0,18760584.0,223664608
2413,68657930.0,25304664.0,131770620.0,123038504.0,13566508.0,44806783
2414,3869120.8,1395861.5,2210762.8,1640597.5,780054.7,660537
2417,1146120.0,1551188.8,3787633.0,55741.88,2076161.9,6341684
2418,19810668.0,26094228.0,14650663.0,4829814.5,10413078.0,4000000
2419,112174720.0,108054060.0,163773950.0,34428028.0,111852750.0,113374103
2420,31347612.0,36797988.0,82045620.0,27497304.0,15459846.0,141047179
2421,4358865.5,3310283.2,4805271.5,464440.4,4884254.5,4100000
2424,506257.1,718521.94,199767.42,154517.86,1672102.0,500000
2425,63410580.0,77335510.0,81903650.0,40277936.0,40642880.0,73648228
2430,14718499.0,1911741.6,11255700.0,12245197.0,4908068.0,19158074
2431,11574208.0,19347212.0,18089912.0,26569892.0,8372547.0,10000000
2432,276285400.0,281865800.0,429908800.0,160398700.0,218770780.0,320170008
2437,2596898.5,1327793.1,2648807.2,1198059.9,1661743.6,3376375
2438,247156180.0,155046820.0,242207540.0,36203452.0,65693040.0,325756637
2439,17583780.0,26730668.0,22426684.0,6068127.5,21639644.0,40084041
2440,84805976.0,98607530.0,124056024.0,58937310.0,87061850.0,26199517
2441,14663438.0,17884784.0,24874412.0,59285584.0,27920792.0,56308881
2442,3330336.8,814524.56,4180689.2,2301536.5,2485857.2,14418922
2443,159535250.0,88196200.0,82482910.0,101436560.0,65948644.0,106303988
2444,551659140.0,195702060.0,501740770.0,151909380.0,218263550.0,698491347
2446,29127656.0,27166948.0,23874128.0,27092848.0,16999376.0,32155047
2447,11007216.0,11169301.0,16655865.0,3780083.8,2736024.0,10400000
2448,48933960.0,49794228.0,44042184.0,7324433.0,101004680.0,231411584
2449,135642140.0,35279976.0,115367690.0,58636364.0,40774644.0,56359980
2450,67842904.0,61317144.0,65971544.0,19123964.0,35395572.0,36779296
2451,11992605.0,21336520.0,10596404.0,740997.4,18059676.0,1300000
2453,110979770.0,94991950.0,120830296.0,109548824.0,31725720.0,95404397
2454,11770274.0,12716365.0,10379170.0,23359952.0,2158982.0,1914166
2455,141028830.0,146210240.0,378431970.0,125844616.0,167695790.0,44000000
2456,196900180.0,157522990.0,172198930.0,38075584.0,114433650.0,549368315
2457,1723438.9,542971.5,876838.44,19746836.0,231492.11,6856989
2460,34872944.0,39922210.0,48102864.0,157968290.0,4803480.0,268426634
2461,26700148.0,35009300.0,50115516.0,26620668.0,69199720.0,82466670
2462,2029098.8,1098032.0,2235180.5,685185.0,2186753.5,240093
2463,96625064.0,60265504.0,62597396.0,66849590.0,217121300.0,6212282
2465,12100504.0,20787352.0,16433772.0,30808272.0,17262436.0,424208848
2466,38075876.0,33984056.0,40064470.0,47790016.0,46212364.0,6928068
2467,150483900.0,85985860.0,42240716.0,93401770.0,46545060.0,26250020
2468,20953428.0,28209908.0,23826272.0,8450172.0,10213463.0,41382841
2469,70676100.0,27218400.0,55056456.0,8589991.0,34941120.0,14048372
2470,106379250.0,222923580.0,193274540.0,32200504.0,96153310.0,78382433
2471,9506512.0,14060894.0,15902962.0,296460.12,27898432.0,15014674
2472,34854590.0,19622860.0,45972796.0,43497704.0,9308336.0,14010832
2473,139048030.0,192527650.0,283645000.0,297131550.0,33092820.0,331926147
2474,237261.78,405826.28,609637.56,8249.305,2211821.2,150277
2476,90141624.0,36277204.0,86562120.0,254132140.0,4449484.5,373552094
2477,64462124.0,33246748.0,38475064.0,29216456.0,15079844.0,212385533
2479,28265328.0,23680480.0,26377556.0,29510208.0,31468384.0,68729358
2480,87634290.0,106540270.0,88313530.0,18753108.0,40426556.0,56702901
2481,951042.5,1430627.0,2298974.2,14482905.0,1139505.6,18800000
2482,67080390.0,37194348.0,58906856.0,73955544.0,48000216.0,51148651
2483,66086148.0,58523960.0,59899476.0,55462452.0,82209784.0,56681566
2486,119918344.0,177427710.0,226016020.0,75886450.0,199809500.0,362637473
2487,238981540.0,167900300.0,250030460.0,340309060.0,139594910.0,93945766
2488,3293323.8,2937204.2,9736464.0,1032236.7,6486477.0,2948386
2489,49741356.0,40568760.0,75985950.0,33862416.0,83409840.0,102391382
2490,14500650.0,11856279.0,4095474.2,13485526.0,2381078.2,40120144
2492,869258.44,391357.2,558897.25,278411.88,1033962.8,10474
2493,2165952.5,901691.2,1827252.2,106770.51,3769485.8,2861020
2494,572983.3,597224.4,474012.3,92776.34,2155900.0,8679814
2496,6942799.5,2440088.5,1819868.1,473022.9,4541468.0,3200000
2498,82879850.0,54596024.0,64661364.0,25958956.0,47693492.0,41954997
2499,688318.25,1880920.4,1404798.4,298269.12,1338442.0,2294357
2500,26998604.0,28349500.0,25819556.0,28266460.0,34201376.0,160638883
2501,17156120.0,25563664.0,31258056.0,23620844.0,9873017.0,19829957
2503,14851717.0,9901418.0,19617208.0,1066482.2,47518700.0,28215918
2507,20056772.0,15654827.0,24087872.0,2502405.2,33381012.0,75993061
2508,8416859.0,13952083.0,6124767.5,1216049.5,65878116.0,5967038
2509,4262284.0,634234.2,1376668.4,470261.62,4037135.5,14624826
2510,1588248.4,695853.0,1369798.1,3244037.5,884061.2,3453043
2511,123456.69,424475.72,73270.09,837363.56,57934.125,532269
2513,42570228.0,40252590.0,59714452.0,11186570.0,30472000.0,50671850
2514,18831892.0,21819724.0,26502068.0,4548902.0,12465200.0,12000000
2515,108419060.0,136026100.0,89598420.0,38805610.0,146946930.0,192330738
2516,4361102.5,4100464.8,3847389.5,2193052.2,4450588.0,1851517
2517,61136836.0,62158970.0,113803950.0,111057060.0,31462144.0,12173470
2518,489830100.0,377759140.0,111601500.0,192072850.0,41721052.0,132900000
2519,264104960.0,117770630.0,195111310.0,192688930.0,68785730.0,201596308
2520,866085.9,953133.56,1587224.8,5382639.5,1143825.9,1500000
2521,28238976.0,94804070.0,68390390.0,9177055.0,38294300.0,90614445
2522,37578844.0,19213464.0,31270636.0,143773620.0,28055636.0,74134790
2523,20580708.0,13958232.0,9550002.0,2836205.2,11289736.0,5923044
2524,2980077.5,1809884.9,2059543.4,2876940.0,2690979.2,3661757
2526,60740140.0,80883700.0,55745730.0,28323504.0,43812110.0,30002758
2527,31080656.0,22681956.0,27630792.0,5054222.5,13251432.0,33697647
2528,3625365.8,3604374.5,8307589.0,296019.12,6332551.0,44349000
2529,15981992.0,7305465.0,15054382.0,18484848.0,13064215.0,7500000
2530,23610936.0,10147462.0,28826548.0,26131532.0,11261799.0,3052000
2531,124751016.0,105822320.0,125326980.0,40129480.0,78523416.0,86658558
2532,104890310.0,50798130.0,74315550.0,13093102.0,56146310.0,11300653
